date,scen_0,scen_1,scen_2,scen_3,scen_4,scen_5,scen_6,scen_7,scen_8,scen_9,scen_10,scen_11,scen_12,scen_13,scen_14,scen_15,scen_16,scen_17,scen_18,scen_19,scen_20,scen_21,scen_22,scen_23,scen_24,scen_25,scen_26,scen_27,scen_28,scen_29,scen_30,scen_31,scen_32,scen_33,scen_34,scen_35,scen_36,scen_37,scen_38,scen_39,scen_40,scen_41,scen_42,scen_43,scen_44,scen_45,scen_46,scen_47,scen_48,scen_49
2020-01-01 00:00:00+00:00,60.989674,58.748486,57.60343,58.905933,61.187023,61.14029,58.64303,58.64303,58.747444,57.174637,60.829815,59.321644,58.503937,58.747444,59.746014,57.426426,58.916252,60.359203,57.558,57.54831,58.747444,58.503937,61.107655,60.989674,59.746014,60.895832,57.60098,59.36495,58.905933,57.19032,57.222282,59.575382,58.125633,57.148796,57.216488,57.154392,59.746014,58.64303,59.001095,57.154392,57.18292,60.895832,57.88135,60.633713,57.88135,61.15367,58.916252,60.586613,60.713917,61.15367
2020-02-01 00:00:00+00:00,62.74353,58.780094,56.387543,59.097397,63.26783,63.116287,57.89786,57.89786,58.10104,55.2507,62.379147,59.924976,58.28278,58.10104,60.09186,55.6374,58.43158,61.361942,55.865803,56.266163,58.10104,58.28278,63.03011,62.74353,60.09186,62.52763,55.941975,59.322018,59.097397,55.268013,55.310925,60.422874,56.907295,55.29991,55.493774,55.231136,60.09186,57.89786,59.28813,55.231136,55.404232,62.52763,56.98677,62.42472,56.98677,63.28168,58.43158,61.84667,62.123055,63.28168
2020-03-01 00:00:00+00:00,64.3416,59.22339,55.51605,59.69845,65.31259,65.00176,56.914948,56.914948,57.208458,53.409317,63.73378,60.922447,58.472218,57.208458,60.157253,53.812786,57.6891,62.10941,54.10055,55.31914,57.208458,58.472218,64.84264,64.3416,60.157253,63.978863,54.199196,59.001873,59.69845,53.416702,53.4497,61.648052,55.50878,53.6349,54.00985,53.412933,60.157253,56.914948,59.982475,53.412933,53.843517,63.978863,56.470917,64.452,56.470917,65.460335,57.6891,62.87412,63.317158,65.460335
2020-04-01 00:00:00+00:00,65.73885,60.065876,55.013508,60.69215,67.26368,66.74359,55.72199,55.72199,56.09485,51.70369,64.855545,62.285954,59.06691,56.09485,59.940346,52.00401,56.709732,62.58054,52.311993,54.733932,56.09485,59.06691,66.49418,65.73885,59.940346,65.20863,52.42175,58.413532,60.69215,51.688557,51.690144,63.216385,53.969494,52.200684,52.806538,51.751514,59.940346,55.72199,61.06456,51.751514,52.544754,65.20863,56.348328,66.65843,56.348328,67.62483,56.709732,63.640003,64.26257,67.62483
2020-05-01 00:00:00+00:00,66.895905,61.283813,54.894085,62.0505,69.06611,68.29267,54.352604,54.352604,54.791595,50.181885,65.71283,63.977066,60.050102,54.791595,59.44725,50.26203,55.521072,62.76206,50.55168,54.527027,54.791595,60.050102,67.93817,66.895905,59.44725,66.18229,50.659725,57.57358,62.0505,50.13228,50.08231,65.08368,52.332813,51.037678,51.917744,50.293694,59.44725,54.352604,62.503895,50.293694,51.54454,66.18229,56.62246,68.978,56.62246,69.71417,55.521072,64.12274,64.932655,69.71417
2020-06-01 00:00:00+00:00,67.78016,62.84288,55.16114,63.73522,70.6691,69.60536,52.845375,52.845375,53.335426,48.886784,66.28147,65.94813,61.39408,53.335426,58.691864,48.63595,54.156624,62.64885,48.86691,54.704258,53.335426,61.39408,69.13394,67.78016,58.691864,66.87239,48.962776,56.50568,63.73522,48.791725,48.671513,67.19731,50.644863,50.178658,51.36852,49.080555,58.691864,52.845375,64.25991,49.080555,50.871067,66.87239,57.285587,71.35276,57.285587,71.669495,54.156624,64.30874,65.308525,71.669495
2020-07-01 00:00:00+00:00,68.36669,64.69914,55.80715,65.69884,72.027466,70.64467,51.242786,51.242786,51.767372,47.854885,66.54545,68.1436,63.060978,51.767372,57.695473,47.17158,52.654835,62.244102,47.306343,55.26063,51.767372,63.060978,70.047775,68.36669,57.695473,67.25949,47.378727,55.239933,65.69884,47.70467,47.4975,69.49773,48.953205,49.647827,51.174335,48.146286,57.695473,51.242786,66.283134,48.146286,50.54331,67.25949,58.31902,73.71209,58.31902,73.435684,52.654835,64.19273,65.3796,73.435684
2020-08-01 00:00:00+00:00,68.63898,66.80029,56.813915,67.886,73.102936,71.3813,49.589993,49.589993,50.131626,47.11527,66.49733,70.50161,65.00382,50.131626,56.486153,45.910194,51.05802,61.559223,45.913963,56.18046,50.131626,65.00382,70.65393,68.63898,56.486153,67.33269,45.952213,53.812,67.886,46.90175,46.59337,71.91609,47.30592,49.46015,51.340668,47.517212,56.486153,49.589993,68.51655,47.517212,50.570503,67.33269,59.693638,75.98951,59.693638,74.962975,51.05802,63.778015,65.14386,74.962975
2020-09-01 00:00:00+00:00,68.58934,69.08711,58.153057,70.2351,73.865204,71.7945,47.93357,47.93357,48.474277,46.688774,66.13846,72.9549,67.167854,48.474277,55.09799,44.88734,49.411186,60.613514,44.72901,57.437836,48.474277,67.167854,70.935326,68.58934,55.09799,67.089905,44.723434,52.262127,70.2351,46.405586,45.984585,74.392006,45.748615,49.620914,51.86283,47.211063,55.09799,47.93357,70.8972,47.211063,50.951885,67.089905,61.37071,78.12084,61.37071,76.20832,49.411186,63.07626,64.607956,76.20832
2020-10-01 00:00:00+00:00,68.219185,71.49118,59.786842,72.67912,74.292786,71.87263,46.3206,46.3206,46.84311,46.58742,65.47896,75.435905,69.4921,46.84311,53.57009,44.131836,47.76074,59.433624,43.784874,58.99732,46.84311,69.4921,70.88403,68.219185,53.57009,66.537994,43.72702,50.633984,72.67912,46.230164,45.68831,76.85184,44.325596,50.125584,52.72611,47.236465,53.57009,46.3206,73.358025,47.236465,51.676704,66.537994,63.302963,80.04601,63.302963,77.136635,47.76074,62.107246,63.786995,77.136635
2020-11-01 00:00:00+00:00,67.53893,73.95247,61.66923,75.15075,74.373634,71.61348,44.79573,44.79573,45.281933,46.814064,64.53741,77.87393,71.91026,45.281933,51.945526,43.664974,46.15358,58.052803,43.108162,60.814964,45.281933,71.91026,70.50149,67.53893,51.945526,65.692505,42.991043,48.973457,75.15075,46.380424,45.71289,79.22626,43.07696,50.95994,53.90617,47.5927,51.945526,44.79573,75.82966,47.5927,52.724537,65.692505,65.43596,81.71078,65.43596,77.721756,46.15358,60.898277,62.704105,77.721756
2020-12-01 00:00:00+00:00,66.567764,76.397766,63.747177,77.57955,74.10547,71.02435,43.40235,43.40235,43.835854,47.36232,63.34034,80.200264,74.35574,43.835854,50.270065,43.499912,44.634212,56.50996,42.717937,62.839546,43.835854,74.35574,69.79848,66.567764,50.270065,64.57727,42.53625,47.32734,77.57955,46.85214,46.05764,81.44837,42.0379,52.100475,55.369762,48.269737,50.270065,43.40235,78.24246,48.269737,54.065857,64.57727,67.70958,83.06823,67.70958,77.94719,44.634212,59.48343,61.389805,77.94719
2021-01-01 00:00:00+00:00,68.88417,77.74243,62.042553,74.97191,71.6752,69.933235,42.486217,43.843773,42.982555,45.849804,61.29735,79.351845,72.628235,42.66367,51.105194,44.381947,43.94437,55.558834,42.24791,60.81271,43.09805,72.039314,67.86293,65.30061,48.580364,66.60888,41.81413,48.493652,75.94201,47.51864,45.085457,78.75569,40.91379,50.37804,56.734272,49.073204,49.716938,41.967472,80.366806,46.657413,54.533714,63.34801,66.56995,83.69834,65.48906,80.348656,46.03841,60.998463,59.68743,76.62391
2021-02-01 00:00:00+00:00,71.2557,78.77006,60.660275,72.46058,69.26602,68.57193,41.829575,44.57357,41.98394,44.500298,59.249874,79.05188,70.69803,41.713142,51.72772,45.51103,43.546577,54.971092,41.59887,58.78142,42.642124,69.6768,65.80492,64.44741,46.953068,68.52432,40.937687,49.502205,74.76829,48.48216,44.38864,76.10555,40.00225,48.682808,57.914207,50.17151,48.953156,40.55526,82.84282,45.087383,54.750904,62.520317,65.86572,83.94112,63.28781,83.02354,47.36232,62.323116,57.87735,75.01784
2021-03-01 00:00:00+00:00,73.611824,79.45169,59.639297,70.116325,66.945816,66.9788,41.450924,45.57117,40.868153,43.35183,57.256107,79.30882,68.61952,41.011063,52.1201,46.855343,43.452045,54.76329,40.789116,56.803417,42.48093,67.33479,63.682434,64.03218,45.434036,70.26963,39.93163,50.324577,74.09148,49.71555,43.986828,73.56912,39.328968,47.060318,58.876328,51.533707,48.000244,39.20364,85.60073,43.60311,54.71131,62.117504,65.61674,83.7897,61.167862,85.89644,48.56863,63.42005,56.010563,73.17425
2021-04-01 00:00:00+00:00,75.88615,79.76812,59.008385,68.00521,64.779976,65.19874,41.360943,46.808464,39.666637,42.43676,55.371243,80.11543,66.45128,40.577217,52.271275,48.377,43.663437,54.941288,39.84146,54.933456,42.619007,65.079285,61.555294,64.06663,44.066074,71.795616,38.824306,50.937595,73.93063,51.184055,43.891342,71.21969,38.912918,45.557446,59.593517,53.121403,46.885056,37.95167,88.56282,42.24683,54.41605,62.150925,65.83001,83.248375,59.188953,88.885445,49.623356,64.25836,54.13968,71.14509
2021-05-01 00:00:00+00:00,78.01458,79.71044,58.785324,66.18673,62.829533,63.281902,41.56216,48.25058,38.413246,41.780884,53.64891,81.44898,64.2544,40.42383,52.17699,50.033123,44.174797,55.500072,38.782616,53.22474,43.052464,62.97383,59.483948,64.5498,42.887733,73.05927,37.64692,51.323982,74.290306,52.84629,44.10487,69.12347,38.76582,44.216545,60.045563,54.889862,45.63901,36.834633,91.6446,41.05675,53.87344,62.61964,66.49954,82.33238,57.40685,91.9082,50.496765,64.814415,52.31787,68.98754
2021-06-01 00:00:00+00:00,79.93713,79.280266,58.976395,64.71212,61.14945,61.28232,42.048912,49.856888,37.143307,41.402676,52.13764,83.2719,62.092228,40.555218,51.839897,51.774162,44.97171,56.42389,37.64241,51.725418,43.76909,61.077766,57.52574,65.46805,41.932217,74.025,36.432648,51.472847,75.16035,54.655415,44.6214,67.339516,38.891823,43.075397,60.219727,56.789246,44.297234,35.884,94.76119,40.066418,53.09877,63.51044,67.606445,81.06754,55.87177,94.87859,51.16425,65.072556,50.595573,66.762405
2021-07-01 00:00:00+00:00,81.59963,78.489716,59.576218,63.622944,59.78707,59.25633,42.807476,51.58211,35.89343,41.312798,50.880024,85.53279,60.022835,40.967686,51.269497,53.556633,46.031727,57.68671,36.452984,50.477745,44.748684,59.444527,55.736393,66.795525,41.22645,74.66557,35.215714,51.38,76.51624,56.557297,45.42637,65.91812,39.287373,42.166164,60.111103,58.76538,42.897526,35.126564,97.82379,39.303738,52.11387,64.798225,69.119545,79.4895,54.626972,97.712906,51.607,65.0255,49.021786,64.53239
2021-08-01 00:00:00+00:00,82.95524,77.36108,60.567883,62.94989,58.78079,57.262344,43.816475,53.37705,34.69718,41.513783,49.911503,88.16796,58.106003,41.64961,50.481865,55.327526,47.324966,59.252953,35.247852,49.51688,45.963646,58.120132,54.16632,68.49481,40.790325,74.962944,34.030697,51.048058,78.31978,58.504444,46.4971,64.89933,39.941322,41.51447,59.72275,60.763836,41.47934,34.583668,100.746086,38.7902,50.9465,66.44669,70.99619,77.64272,53.70754,100.331276,51.812534,64.67457,47.64086,62.36086
2021-09-01 00:00:00+00:00,83.96574,75.926155,61.923454,62.71193,58.15896,55.353916,45.04748,55.19226,33.589127,41.999966,49.259365,91.10315,56.395756,42.581768,49.499195,57.036934,48.81499,61.078472,34.061756,48.8699,47.379734,57.141907,52.85977,70.51802,40.63613,74.90874,32.91041,50.486374,80.52014,60.43894,47.803417,64.31185,40.83525,41.138676,59.065617,62.72767,40.08355,34.27061,103.44573,38.54028,49.62955,68.40941,73.18351,75.57925,53.13938,102.65991,51.775066,64.02966,46.491714,60.30795
2021-10-01 00:00:00+00:00,84.60265,74.22538,63.604725,62.915764,57.939106,53.58619,46.4658,56.976025,32.60049,42.757645,48.94199,94.255646,54.94029,43.737896,48.349182,58.636684,50.459812,63.111828,32.92655,48.555035,48.957047,56.537415,51.85356,72.80814,40.76821,74.50447,31.886726,49.71077,83.05531,62.30627,49.308506,64.17224,41.94396,41.04937,58.15822,64.60154,38.747654,34.196217,105.84666,38.561016,48.200138,70.63105,75.61986,73.35723,52.938503,104.633194,51.495647,63.108955,45.606724,58.432056
2021-11-01 00:00:00+00:00,84.84805,72.30668,65.564316,63.55565,58.12743,52.008976,48.031464,58.678074,31.759132,43.765472,48.968323,97.53552,53.780613,45.085415,47.064228,60.0817,52.213078,65.295715,31.875044,48.58116,50.651134,56.323692,51.17605,75.30064,41.182846,73.76155,30.988491,48.74311,85.85387,64.05382,50.969955,64.484436,43.236206,41.249073,57.02612,66.332634,37.51025,34.36258,107.88119,38.851826,46.69854,73.04901,78.23657,71.03928,53.110573,106.19551,50.98216,61.938385,45.010834,56.78605
2021-12-01 00:00:00+00:00,84.69501,70.22413,67.74701,64.613556,58.718616,50.66672,49.700356,60.250446,31.088764,44.995045,49.33762,100.85245,52.94941,46.586346,45.680546,61.331257,54.02538,67.56786,30.93686,48.94754,52.413677,56.506763,50.84633,77.92092,41.868347,72.7009,30.241014,47.61066,88.83692,65.632324,52.740944,65.23963,44.67558,41.732155,55.701233,67.87218,36.4062,34.76501,109.492004,39.404514,45.167076,75.59095,80.95902,68.69073,53.650734,107.30284,50.24906,60.55094,44.720833,55.41631
